date,value,change
7/21/2017,5921.52,1
7/24/2017,5941.37,1.00335218
7/25/2017,5930.65,0.998195702
7/26/2017,5950.73,1.003385801
7/27/2017,5917.03,0.994336829
7/28/2017,5908.92,0.99862938
7/31/2017,5880.33,0.995161552
8/1/2017,5895.17,1.002523668
8/2/2017,5914.23,1.003233155
8/3/2017,5891.2,0.996106002
8/4/2017,5899.91,1.001478476
8/7/2017,5934.73,1.005901785
8/8/2017,5926.35,0.998587973
8/9/2017,5919.39,0.998825584
8/10/2017,5788.19,0.977835554
8/11/2017,5831.53,1.00748766
8/14/2017,5908.17,1.013142349
8/15/2017,5907.73,0.999925527
8/16/2017,5917.42,1.001640224
8/17/2017,5796.32,0.979535
8/18/2017,5790.91,0.999066649
8/21/2017,5786.54,0.999245369
8/22/2017,5873.33,1.0149986
8/23/2017,5851.78,0.996330872
8/24/2017,5834.44,0.997036799
8/25/2017,5822.53,0.997958673
8/28/2017,5838.08,1.00267066
8/29/2017,5862.14,1.004121218
8/30/2017,5932.9,1.012070677
8/31/2017,5988.6,1.009388326
9/1/2017,5987.9,0.999883111
9/4/2017,.,#VALUE!
9/5/2017,5932.73,#VALUE!
9/6/2017,5951.13,1.003101439
9/7/2017,5964.31,1.002214705
9/8/2017,5913.37,0.991459196
9/11/2017,5980.53,1.011357314
9/12/2017,5995.64,1.002526532
9/13/2017,6004.38,1.001457726
9/14/2017,5968.82,0.994077657
9/15/2017,5988,1.003213365
9/18/2017,5981.12,0.998851035
9/19/2017,5991.08,1.00166524
9/20/2017,5973.6,0.997082329
9/21/2017,5934.91,0.993523169
9/22/2017,5932.32,0.999563599
9/25/2017,5867.35,0.98904813
9/26/2017,5881.34,1.002384381
9/27/2017,5937.79,1.009598153
9/28/2017,5933.07,0.999205091
9/29/2017,5979.3,1.007791919
10/2/2017,5981.92,1.000438178
10/3/2017,5995.06,1.002196619
10/4/2017,5998.84,1.000630519
10/5/2017,6057.14,1.009718546
10/6/2017,6064.57,1.001226652
10/9/2017,6058.53,0.999004051
10/10/2017,6063.52,1.000823632
10/11/2017,6081.25,1.002924044
10/12/2017,6069.99,0.998148407
10/13/2017,6092.45,1.003700171
10/16/2017,6114.53,1.003624158
10/17/2017,6122.61,1.001321443
10/18/2017,6114.35,0.998650902
10/19/2017,6092.62,0.996446065
10/20/2017,6108.82,1.002658955
10/23/2017,6067.83,0.99329003
10/24/2017,6080.22,1.002041916
10/25/2017,6055.04,0.995858702
10/26/2017,6037.87,0.997164346
10/27/2017,6213.47,1.029083104
10/30/2017,6227.59,1.002272482
10/31/2017,6248.56,1.003367274
11/1/2017,6248.65,1.000014403
11/2/2017,6236.39,0.998037976
11/3/2017,6295.58,1.009491068
11/6/2017,6313.61,1.002863914
11/7/2017,6320.78,1.001135642
11/8/2017,6345.81,1.003959954
