date,value
7/17/2017,110.9296
7/18/2017,110.4349
7/19/2017,110.4329
7/20/2017,110.2504
7/21/2017,110.1902
7/24/2017,110.1998
7/25/2017,110.2831
7/26/2017,110.3805
7/27/2017,110.2154
7/28/2017,109.9197
7/31/2017,109.8181
8/1/2017,109.8498
8/2/2017,109.7508
8/3/2017,109.8336
8/4/2017,110.2807
8/7/2017,110.373
8/8/2017,110.3956
8/9/2017,110.367
8/10/2017,110.1884
8/11/2017,110.0421
8/14/2017,110.0947
8/15/2017,110.4839
8/16/2017,110.4385
8/17/2017,110.1666
8/18/2017,110.04
8/21/2017,109.7342
8/22/2017,109.8373
8/23/2017,109.8082
8/24/2017,109.7511
8/25/2017,109.3405
8/28/2017,109.181
8/29/2017,109.0944
8/30/2017,109.4047
8/31/2017,109.3676
9/1/2017,109.0492
9/4/2017,.
9/5/2017,108.8654
9/6/2017,108.4885
9/7/2017,107.9211
9/8/2017,107.8071
9/11/2017,108.1518
9/12/2017,108.3233
9/13/2017,108.6618
9/14/2017,108.6175
9/15/2017,108.315
9/18/2017,108.6402
9/19/2017,108.6147
9/20/2017,108.4336
9/21/2017,108.9274
9/22/2017,108.7548
9/25/2017,109.3307
9/26/2017,109.7772
9/27/2017,110.0726
9/28/2017,110.2425
9/29/2017,110.0876
10/2/2017,110.3688
10/3/2017,110.3284
10/4/2017,110.2427
10/5/2017,110.5821
10/6/2017,110.7839
10/9/2017,.
10/10/2017,110.3037
10/11/2017,110.3042
10/12/2017,110.3156
10/13/2017,110.2678
10/16/2017,110.5443
10/17/2017,110.9149
10/18/2017,110.7218
10/19/2017,110.4583
10/20/2017,111.0382
10/23/2017,111.2144
10/24/2017,111.4036
10/25/2017,111.3921
10/26/2017,111.643
10/27/2017,112.1504
10/30/2017,111.9022
10/31/2017,111.8068
11/1/2017,111.7955
11/2/2017,111.5479
11/3/2017,111.9388
11/6/2017,111.7203
11/7/2017,111.9453
11/8/2017,111.6938
11/9/2017,111.5632
11/10/2017,.
11/13/2017,111.784
11/14/2017,111.5107
11/15/2017,111.4822
11/16/2017,111.2579
11/17/2017,111.0028
11/20/2017,111.261
11/21/2017,110.9836
11/22/2017,110.5642
11/23/2017,.
11/24/2017,110.0266
11/27/2017,110.1149
11/28/2017,110.3027
11/29/2017,110.3281
11/30/2017,110.4669
12/1/2017,110.1432
12/4/2017,110.3984
12/5/2017,110.4917
12/6/2017,110.8724
12/7/2017,111.0196
12/8/2017,111.2288
12/11/2017,111.0843
12/12/2017,111.523
12/13/2017,111.2777
12/14/2017,111.0914
12/15/2017,111.1302
12/18/2017,110.9107
12/19/2017,111.1277
12/20/2017,110.8384
12/21/2017,110.8806
12/22/2017,111.1018
12/25/2017,.
12/26/2017,110.9779
12/27/2017,110.8576
12/28/2017,110.5178
12/29/2017,110.0808
1/1/2018,.
1/2/2018,109.6469
1/3/2018,109.6775
1/4/2018,109.4802
1/5/2018,109.3517
1/8/2018,109.57
1/9/2018,109.9044
1/10/2018,109.6299
1/11/2018,109.491
1/12/2018,108.9035
1/15/2018,.
1/16/2018,108.3244
1/17/2018,108.155
1/18/2018,108.068
1/19/2018,107.9478
1/22/2018,108.1094
1/23/2018,108.0007
1/24/2018,107.0828
1/25/2018,106.5079
1/26/2018,106.6935
1/29/2018,107.1165
1/30/2018,107.1089
1/31/2018,106.7722
2/1/2018,106.4903
2/2/2018,107.1181
2/5/2018,107.333
2/6/2018,107.5233
2/7/2018,107.7198
2/8/2018,108.3049
2/9/2018,108.2605
2/12/2018,108.0358
2/13/2018,107.7602
2/14/2018,107.472
2/15/2018,106.9897
2/16/2018,107.0387
2/19/2018,.
2/20/2018,107.6276
2/21/2018,107.8707
2/22/2018,107.8696
2/23/2018,107.6829
2/26/2018,107.7373
2/27/2018,108.1757
2/28/2018,108.3928
3/1/2018,108.5384
3/2/2018,.
3/5/2018,108.3648
3/6/2018,107.8002
3/7/2018,108.0947
3/8/2018,108.2702
3/9/2018,107.9259
3/12/2018,107.9467
3/13/2018,107.7417
3/14/2018,107.8655
3/15/2018,108.2064
3/16/2018,108.4364
3/19/2018,108.3179
3/20/2018,108.4985
3/21/2018,.
3/22/2018,107.9965
3/23/2018,107.7526
3/26/2018,107.1851
3/27/2018,107.3391
3/28/2018,107.5763
3/29/2018,107.6678
3/30/2018,107.4811
4/2/2018,107.7059
4/3/2018,107.5648
4/4/2018,107.6387
4/5/2018,107.7304
4/6/2018,107.7912
4/9/2018,107.534
4/10/2018,107.3679
4/11/2018,107.1244
4/12/2018,107.2924
4/13/2018,107.2386
4/16/2018,107.0616
4/17/2018,107.0362
4/18/2018,107.1118
4/19/2018,107.5219
4/20/2018,108.181
4/23/2018,108.9357
4/24/2018,108.7932
4/25/2018,109.3473
4/26/2018,109.3668
4/27/2018,109.1755
4/30/2018,109.3381
5/1/2018,109.7461
5/2/2018,110.1641
5/3/2018,110.1821
5/4/2018,110.2516
5/7/2018,110.5738
5/8/2018,111.0647
5/9/2018,110.8832
5/10/2018,110.4064
5/11/2018,110.2863
5/14/2018,110.4098
5/15/2018,111.231
5/16/2018,111.3083
5/17/2018,111.3562
5/18/2018,111.7188
5/21/2018,111.6411
5/22/2018,111.1958
5/23/2018,111.6943
5/24/2018,111.4896
5/25/2018,111.5852
5/28/2018,.
5/29/2018,112.2132
5/30/2018,111.6741
5/31/2018,111.9906
6/1/2018,111.8279
6/4/2018,111.8261
6/5/2018,112.2657
6/6/2018,111.7546
6/7/2018,112.0751
6/8/2018,112.1087
6/11/2018,112.1127
6/12/2018,112.216
6/13/2018,112.2599
6/14/2018,112.861
6/15/2018,113.3398
6/18/2018,113.4919
6/19/2018,113.6408
6/20/2018,113.4804
6/21/2018,113.6131
6/22/2018,113.3069
6/25/2018,113.2886
6/26/2018,113.304
6/27/2018,113.8994
6/28/2018,113.8427
6/29/2018,113.2611
7/2/2018,114.1699
7/3/2018,113.3244
7/4/2018,.
7/5/2018,112.9783
7/6/2018,112.6453
7/9/2018,112.645
7/10/2018,112.5818
7/11/2018,112.8608
7/12/2018,112.7815
7/13/2018,113.0731
7/16/2018,112.8464
7/17/2018,113.153
7/18/2018,113.3374
7/19/2018,113.949
7/20/2018,113.324
7/23/2018,113.4274
7/24/2018,113.2069
7/25/2018,112.9241
7/26/2018,112.9198
7/27/2018,112.8144
7/30/2018,112.6066
7/31/2018,112.732
8/1/2018,112.8919
8/2/2018,113.1696
8/3/2018,113.0135
8/6/2018,113.2302
8/7/2018,112.9773
8/8/2018,113.1424
8/9/2018,113.3818
8/10/2018,114.3012
8/13/2018,114.8519
8/14/2018,114.6586
8/15/2018,115.1533
8/16/2018,114.6424
8/17/2018,114.5347
8/20/2018,114.3514
8/21/2018,113.8617
8/22/2018,113.6646
8/23/2018,114.0949
8/24/2018,113.6003
8/27/2018,113.2739
8/28/2018,113.3465
8/29/2018,113.6483
8/30/2018,114.092
8/31/2018,114.2775
9/3/2018,.
9/4/2018,114.8605
9/5/2018,114.7501
9/6/2018,114.6501
9/7/2018,114.5833
9/10/2018,114.682
9/11/2018,114.7071
9/12/2018,114.221
9/13/2018,113.9289
9/14/2018,114.068
9/17/2018,113.918
9/18/2018,113.776
9/19/2018,113.6552
9/20/2018,113.5012
9/21/2018,113.5122
9/24/2018,113.5326
9/25/2018,113.723
9/26/2018,113.6764
9/27/2018,113.9807
9/28/2018,113.8094
10/1/2018,113.8247
10/2/2018,113.8965
10/3/2018,114.1579
10/4/2018,114.6879
10/5/2018,114.5621
10/8/2018,.
10/9/2018,114.659
10/10/2018,114.6083
10/11/2018,114.4086
10/12/2018,114.3703
10/15/2018,114.0462
10/16/2018,113.8974
10/17/2018,114.1764
10/18/2018,114.8174
10/19/2018,114.858
10/22/2018,115.1794
10/23/2018,115.1664
10/24/2018,115.3763
10/25/2018,115.4838
10/26/2018,115.4737
10/29/2018,115.8947
