date,value,change
7/24/2017,2469.91,1
7/25/2017,2477.13,1.002923183
7/26/2017,2477.83,1.000282585
7/27/2017,2475.42,0.999027375
7/28/2017,2472.1,0.998658813
7/31/2017,2470.3,0.999271874
8/1/2017,2476.35,1.002449095
8/2/2017,2477.57,1.000492661
8/3/2017,2472.16,0.997816409
8/4/2017,2476.83,1.001889036
8/7/2017,2480.91,1.001647267
8/8/2017,2474.92,0.997585563
8/9/2017,2474.02,0.999636352
8/10/2017,2438.21,0.985525582
8/11/2017,2441.32,1.001275526
8/14/2017,2465.84,1.010043747
8/15/2017,2464.61,0.999501184
8/16/2017,2468.11,1.001420103
8/17/2017,2430.01,0.984563087
8/18/2017,2425.55,0.998164617
8/21/2017,2428.37,1.001162623
8/22/2017,2452.51,1.009940825
8/23/2017,2444.04,0.996546395
8/24/2017,2438.97,0.997925566
8/25/2017,2443.05,1.001672837
8/28/2017,2444.24,1.000487096
8/29/2017,2446.3,1.000842798
8/30/2017,2457.59,1.004615133
8/31/2017,2471.65,1.005721052
9/1/2017,2476.55,1.001982481
9/4/2017,.,#VALUE!
9/5/2017,2457.85,#VALUE!
9/6/2017,2465.54,1.003128751
9/7/2017,2465.1,0.99982154
9/8/2017,2461.43,0.998511217
9/11/2017,2488.11,1.010839228
9/12/2017,2496.48,1.003363999
9/13/2017,2498.37,1.000757066
9/14/2017,2495.62,0.998899282
9/15/2017,2500.23,1.001847236
9/18/2017,2503.87,1.001455866
9/19/2017,2506.65,1.001110281
9/20/2017,2508.24,1.000634313
9/21/2017,2500.6,0.996954039
9/22/2017,2502.22,1.000647845
9/25/2017,2496.66,0.997777973
9/26/2017,2496.84,1.000072096
9/27/2017,2507.04,1.004085164
9/28/2017,2510.06,1.001204608
9/29/2017,2519.36,1.003705091
10/2/2017,2529.12,1.003874
10/3/2017,2534.58,1.002158854
10/4/2017,2537.74,1.001246755
10/5/2017,2552.07,1.005646757
10/6/2017,2549.33,0.998926362
10/9/2017,2544.73,0.998195604
10/10/2017,2550.64,1.002322447
10/11/2017,2555.24,1.001803469
10/12/2017,2550.93,0.99831327
10/13/2017,2553.17,1.000878111
10/16/2017,2557.64,1.001750765
10/17/2017,2559.36,1.000672495
10/18/2017,2561.26,1.000742373
10/19/2017,2562.1,1.000327964
10/20/2017,2575.21,1.005116896
10/23/2017,2564.98,0.996027508
10/24/2017,2569.13,1.001617946
10/25/2017,2557.15,0.995336943
10/26/2017,2560.4,1.001270946
10/27/2017,2581.07,1.008072957
10/30/2017,2572.83,0.996807526
10/31/2017,2575.26,1.000944485
11/1/2017,2579.36,1.001592072
11/2/2017,2579.85,1.00018997
11/3/2017,2587.84,1.003097079
11/6/2017,2591.13,1.001271331
11/7/2017,2590.64,0.999810893
11/8/2017,2594.38,1.001443659
11/9/2017,2584.62,0.996238022
11/10/2017,2582.3,0.999102383
11/13/2017,2584.84,1.000983619
11/14/2017,2578.87,0.997690379
11/15/2017,2564.62,0.994474324
11/16/2017,2585.64,1.008196146
11/17/2017,2578.85,0.997373958
11/20/2017,2582.14,1.001275762
11/21/2017,2599.03,1.006541086
11/22/2017,2597.08,0.99924972
11/23/2017,.,#VALUE!
11/24/2017,2602.42,#VALUE!
11/27/2017,2601.42,0.999615742
11/28/2017,2627.04,1.009848467
11/29/2017,2626.07,0.999630763
11/30/2017,2647.58,1.008190947
12/1/2017,2642.22,0.99797551
12/4/2017,2639.44,0.998947854
12/5/2017,2629.57,0.99626057
12/6/2017,2629.27,0.999885913
12/7/2017,2636.98,1.002932373
12/8/2017,2651.5,1.005506299
12/11/2017,2659.99,1.003201961
12/12/2017,2664.11,1.001548878
12/13/2017,2662.85,0.999527047
12/14/2017,2652.01,0.995929174
12/15/2017,2675.81,1.008974325
12/18/2017,2690.16,1.005362862
12/19/2017,2681.47,0.996769709
12/20/2017,2679.25,0.999172096
12/21/2017,2684.57,1.00198563
12/22/2017,2683.34,0.999541826
12/25/2017,.,#VALUE!
12/26/2017,2680.5,#VALUE!
12/27/2017,2682.62,1.000790897
12/28/2017,2687.54,1.001834028
12/29/2017,2673.61,0.994816821
1/1/2018,.,#VALUE!
1/2/2018,2695.81,#VALUE!
1/3/2018,2713.06,1.006398819
1/4/2018,2723.99,1.004028661
1/5/2018,2743.15,1.0070338
1/8/2018,2747.71,1.001662323
1/9/2018,2751.29,1.001302903
1/10/2018,2748.23,0.998887794
1/11/2018,2767.56,1.007033618
1/12/2018,2786.24,1.006749628
1/15/2018,.,#VALUE!
1/16/2018,2776.42,#VALUE!
