date,value,change
7/17/2017,110.9296,1
7/18/2017,110.4349,0.995540415
7/19/2017,110.4329,0.99998189
7/20/2017,110.2504,0.998347413
7/21/2017,110.1902,0.99945397
7/24/2017,110.1998,1.000087122
7/25/2017,110.2831,1.0007559
7/26/2017,110.3805,1.000883182
7/27/2017,110.2154,0.998504265
7/28/2017,109.9197,0.997317072
7/31/2017,109.8181,0.999075689
8/1/2017,109.8498,1.000288659
8/2/2017,109.7508,0.999098769
8/3/2017,109.8336,1.000754436
8/4/2017,110.2807,1.004070703
8/7/2017,110.373,1.000836955
8/8/2017,110.3956,1.00020476
8/9/2017,110.367,0.999740932
8/10/2017,110.1884,0.998381763
8/11/2017,110.0421,0.998672274
8/14/2017,110.0947,1.000477999
8/15/2017,110.4839,1.003535138
8/16/2017,110.4385,0.99958908
8/17/2017,110.1666,0.997537996
8/18/2017,110.04,0.998850831
8/21/2017,109.7342,0.997221011
8/22/2017,109.8373,1.000939543
8/23/2017,109.8082,0.999735063
8/24/2017,109.7511,0.999480002
8/25/2017,109.3405,0.996258807
8/28/2017,109.181,0.998541254
8/29/2017,109.0944,0.999206822
8/30/2017,109.4047,1.002844326
8/31/2017,109.3676,0.999660892
9/1/2017,109.0492,0.997088717
9/4/2017,.,#VALUE!
9/5/2017,108.8654,#VALUE!
9/6/2017,108.4885,0.996537927
9/7/2017,107.9211,0.994769953
9/8/2017,107.8071,0.998943673
9/11/2017,108.1518,1.003197378
9/12/2017,108.3233,1.001585734
9/13/2017,108.6618,1.003124905
9/14/2017,108.6175,0.999592313
9/15/2017,108.315,0.997214998
9/18/2017,108.6402,1.003002354
9/19/2017,108.6147,0.99976528
9/20/2017,108.4336,0.998332638
9/21/2017,108.9274,1.004553939
9/22/2017,108.7548,0.998415458
9/25/2017,109.3307,1.005295398
9/26/2017,109.7772,1.00408394
9/27/2017,110.0726,1.002690905
9/28/2017,110.2425,1.001543527
9/29/2017,110.0876,0.998594916
10/2/2017,110.3688,1.002554329
10/3/2017,110.3284,0.999633955
10/4/2017,110.2427,0.999223228
10/5/2017,110.5821,1.003078662
10/6/2017,110.7839,1.001824888
10/9/2017,.,#VALUE!
10/10/2017,110.3037,#VALUE!
10/11/2017,110.3042,1.000004533
10/12/2017,110.3156,1.000103351
10/13/2017,110.2678,0.999566698
10/16/2017,110.5443,1.002507532
10/17/2017,110.9149,1.003352502
10/18/2017,110.7218,0.998259026
10/19/2017,110.4583,0.997620162
10/20/2017,111.0382,1.005249945
10/23/2017,111.2144,1.001586841
10/24/2017,111.4036,1.001701219
10/25/2017,111.3921,0.999896772
10/26/2017,111.643,1.002252404
10/27/2017,112.1504,1.004544844
10/30/2017,111.9022,0.9977869
10/31/2017,111.8068,0.99914747
11/1/2017,111.7955,0.999898933
11/2/2017,111.5479,0.997785242
11/3/2017,111.9388,1.003504324
11/6/2017,111.7203,0.998048041
11/7/2017,111.9453,1.002013958
11/8/2017,111.6938,0.997753367
11/9/2017,111.5632,0.998830732
11/10/2017,.,#VALUE!
11/13/2017,111.784,#VALUE!
11/14/2017,111.5107,0.997555106
11/15/2017,111.4822,0.999744419
11/16/2017,111.2579,0.99798802
11/17/2017,111.0028,0.997707129
11/20/2017,111.261,1.002326067
11/21/2017,110.9836,0.997506763
11/22/2017,110.5642,0.996221063
11/23/2017,.,#VALUE!
11/24/2017,110.0266,#VALUE!
11/27/2017,110.1149,1.000802533
11/28/2017,110.3027,1.001705491
11/29/2017,110.3281,1.000230275
11/30/2017,110.4669,1.001258066
12/1/2017,110.1432,0.99706971
12/4/2017,110.3984,1.002316984
12/5/2017,110.4917,1.000845121
12/6/2017,110.8724,1.003445508
12/7/2017,111.0196,1.001327652
12/8/2017,111.2288,1.001884352
12/11/2017,111.0843,0.998700876
12/12/2017,111.523,1.003949253
12/13/2017,111.2777,0.997800454
12/14/2017,111.0914,0.99832581
12/15/2017,111.1302,1.000349262
12/18/2017,110.9107,0.998024839
12/19/2017,111.1277,1.001956529
12/20/2017,110.8384,0.997396689
12/21/2017,110.8806,1.000380734
12/22/2017,111.1018,1.001994939
12/25/2017,.,#VALUE!
12/26/2017,110.9779,#VALUE!
12/27/2017,110.8576,0.998916
12/28/2017,110.5178,0.996934806
12/29/2017,110.0808,0.996045886
1/1/2018,.,#VALUE!
1/2/2018,109.6469,#VALUE!
1/3/2018,109.6775,1.000279078
1/4/2018,109.4802,0.99820109
1/5/2018,109.3517,0.998826272
1/8/2018,109.57,1.001996311
1/9/2018,109.9044,1.00305193
1/10/2018,109.6299,0.997502375
1/11/2018,109.491,0.99873301
1/12/2018,108.9035,0.994634262
1/15/2018,.,#VALUE!
1/16/2018,108.3244,#VALUE!
1/17/2018,108.155,0.998436179
1/18/2018,108.068,0.999195599
1/19/2018,107.9478,0.998887737
1/22/2018,108.1094,1.00149702
1/23/2018,108.0007,0.998994537
1/24/2018,107.0828,0.991500981
1/25/2018,106.5079,0.994631257
1/26/2018,106.6935,1.001742594
1/29/2018,107.1165,1.003964628
1/30/2018,107.1089,0.999929049
1/31/2018,106.7722,0.99685647
2/1/2018,106.4903,0.9973598
2/2/2018,107.1181,1.005895373
2/5/2018,107.333,1.002006197
2/6/2018,107.5233,1.001772987
2/7/2018,107.7198,1.001827511
2/8/2018,108.3049,1.005431685
2/9/2018,108.2605,0.999590046
2/12/2018,108.0358,0.997924451
2/13/2018,107.7602,0.997448994
2/14/2018,107.472,0.997325543
2/15/2018,106.9897,0.995512319
2/16/2018,107.0387,1.000457988
2/19/2018,.,#VALUE!
2/20/2018,107.6276,#VALUE!
2/21/2018,107.8707,1.002258714
2/22/2018,107.8696,0.999989803
2/23/2018,107.6829,0.998269207
2/26/2018,107.7373,1.000505187
2/27/2018,108.1757,1.004069157
2/28/2018,108.3928,1.00200692
3/1/2018,108.5384,1.001343263
3/2/2018,.,#VALUE!
3/5/2018,108.3648,#VALUE!
3/6/2018,107.8002,0.994789821
3/7/2018,108.0947,1.002731906
3/8/2018,108.2702,1.001623576
3/9/2018,107.9259,0.996819993
3/12/2018,107.9467,1.000192725
3/13/2018,107.7417,0.998100915
3/14/2018,107.8655,1.001149044
3/15/2018,108.2064,1.003160417
3/16/2018,108.4364,1.002125567
3/19/2018,108.3179,0.998907194
3/20/2018,108.4985,1.001667314
3/21/2018,.,#VALUE!
3/22/2018,107.9965,#VALUE!
3/23/2018,107.7526,0.997741593
3/26/2018,107.1851,0.994733306
3/27/2018,107.3391,1.001436767
3/28/2018,107.5763,1.002209819
3/29/2018,107.6678,1.000850559
3/30/2018,107.4811,0.998265963
4/2/2018,107.7059,1.002091531
4/3/2018,107.5648,0.998689951
4/4/2018,107.6387,1.000687028
4/5/2018,107.7304,1.000851924
4/6/2018,107.7912,1.000564372
4/9/2018,107.534,0.997613905
4/10/2018,107.3679,0.998455372
4/11/2018,107.1244,0.997732097
4/12/2018,107.2924,1.00156827
4/13/2018,107.2386,0.999498567
4/16/2018,107.0616,0.998349475
4/17/2018,107.0362,0.999762753
4/18/2018,107.1118,1.000706303
4/19/2018,107.5219,1.00382871
4/20/2018,108.181,1.006129914
4/23/2018,108.9357,1.006976271
4/24/2018,108.7932,0.998691889
4/25/2018,109.3473,1.005093149
4/26/2018,109.3668,1.000178331
4/27/2018,109.1755,0.99825084
4/30/2018,109.3381,1.001489345
5/1/2018,109.7461,1.003731545
5/2/2018,110.1641,1.003808791
5/3/2018,110.1821,1.000163393
5/4/2018,110.2516,1.000630774
5/7/2018,110.5738,1.002922407
5/8/2018,111.0647,1.004439569
5/9/2018,110.8832,0.998365817
5/10/2018,110.4064,0.99569998
5/11/2018,110.2863,0.998912201
5/14/2018,110.4098,1.001119813
5/15/2018,111.231,1.007437746
5/16/2018,111.3083,1.00069495
5/17/2018,111.3562,1.000430336
5/18/2018,111.7188,1.003256217
5/21/2018,111.6411,0.999304504
5/22/2018,111.1958,0.996011326
5/23/2018,111.6943,1.004483083
5/24/2018,111.4896,0.998167319
5/25/2018,111.5852,1.000857479
5/28/2018,.,#VALUE!
5/29/2018,112.2132,#VALUE!
5/30/2018,111.6741,0.995195752
5/31/2018,111.9906,1.00283414
6/1/2018,111.8279,0.998547199
6/4/2018,111.8261,0.999983904
6/5/2018,112.2657,1.003931104
6/6/2018,111.7546,0.995447407
6/7/2018,112.0751,1.002867891
6/8/2018,112.1087,1.000299799
6/11/2018,112.1127,1.00003568
6/12/2018,112.216,1.000921394
6/13/2018,112.2599,1.00039121
6/14/2018,112.861,1.005354539
6/15/2018,113.3398,1.004242387
6/18/2018,113.4919,1.001341982
6/19/2018,113.6408,1.001311988
6/20/2018,113.4804,0.998588535
6/21/2018,113.6131,1.001169365
6/22/2018,113.3069,0.997304888
6/25/2018,113.2886,0.999838492
6/26/2018,113.304,1.000135936
6/27/2018,113.8994,1.00525489
6/28/2018,113.8427,0.999502192
6/29/2018,113.2611,0.994891196
7/2/2018,114.1699,1.008023938
7/3/2018,113.3244,0.99259437
7/4/2018,.,#VALUE!
7/5/2018,112.9783,#VALUE!
7/6/2018,112.6453,0.997052531
7/9/2018,112.645,0.999997337
7/10/2018,112.5818,0.999438945
7/11/2018,112.8608,1.002478198
7/12/2018,112.7815,0.999297365
7/13/2018,113.0731,1.00258553
7/16/2018,112.8464,0.997995102
7/17/2018,113.153,1.002716967
7/18/2018,113.3374,1.001629652
7/19/2018,113.949,1.005396277
7/20/2018,113.324,0.99451509
7/23/2018,113.4274,1.000912428
7/24/2018,113.2069,0.998056025
7/25/2018,112.9241,0.997501919
7/26/2018,112.9198,0.999961921
7/27/2018,112.8144,0.999066594
7/30/2018,112.6066,0.998158037
7/31/2018,112.732,1.001113611
8/1/2018,112.8919,1.001418408
8/2/2018,113.1696,1.002459875
8/3/2018,113.0135,0.998620654
8/6/2018,113.2302,1.00191747
8/7/2018,112.9773,0.997766497
8/8/2018,113.1424,1.001461356
8/9/2018,113.3818,1.002115918
8/10/2018,114.3012,1.008108885
8/13/2018,114.8519,1.004817972
8/14/2018,114.6586,0.998316963
8/15/2018,115.1533,1.004314548
8/16/2018,114.6424,0.995563306
8/17/2018,114.5347,0.999060557
8/20/2018,114.3514,0.998399612
8/21/2018,113.8617,0.995717586
8/22/2018,113.6646,0.998268953
8/23/2018,114.0949,1.003785699
8/24/2018,113.6003,0.995665012
8/27/2018,113.2739,0.997126768
8/28/2018,113.3465,1.000640924
